date,user_id,event_type
2023-01-01,2704,login
2023-01-01,3906,login
2023-01-01,1817,login
2023-01-01,1558,login
2023-01-01,616,login
2023-01-01,1672,login
2023-01-01,2798,login
2023-01-01,3480,login
2023-01-01,2398,login
2023-01-01,4521,login
2023-01-01,187,login
2023-01-01,2912,login
2023-01-01,3019,login
2023-01-01,2402,login
2023-01-01,2122,login
2023-01-01,1497,login
2023-01-01,3823,login
2023-01-01,2057,login
2023-01-01,1229,login
2023-01-01,2677,login
2023-01-01,2835,login
2023-01-01,3255,login
2023-01-01,2351,login
2023-01-01,3403,login
2023-01-01,4997,login
2023-01-01,193,login
2023-01-01,4540,login
2023-01-01,3701,login
2023-01-01,3853,login
2023-01-01,2388,login
2023-01-01,3020,login
2023-01-01,1282,login
2023-01-01,2890,login
2023-01-01,4042,login
2023-01-01,300,login
2023-01-01,467,login
2023-01-01,1208,login
2023-01-01,281,login
2023-01-01,1962,login
2023-01-01,3077,login
2023-01-01,3171,login
2023-01-01,1786,login
2023-01-01,4222,login
2023-01-01,4844,login
2023-01-01,3394,login
2023-01-01,3257,login
2023-01-01,4505,login
2023-01-01,355,login
2023-01-01,3958,login
2023-01-01,999,login
2023-01-01,2742,login
2023-01-01,2746,login
2023-01-01,1728,login
2023-01-01,2269,login
2023-01-01,206,login
2023-01-01,2080,login
2023-01-01,128,login
2023-01-01,2047,login
2023-01-01,4740,login
2023-01-01,4476,login
2023-01-01,876,login
2023-01-01,493,login
2023-01-01,2140,login
2023-01-01,3337,login
2023-01-01,852,login
2023-01-01,3374,login
2023-01-01,171,login
2023-01-01,4351,login
2023-01-01,1876,login
2023-01-01,3757,login
2023-01-01,2177,login
2023-01-01,536,login
2023-01-01,4823,login
2023-01-01,3711,login
2023-01-01,4697,login
2023-01-01,4480,login
2023-01-01,272,login
2023-01-01,2103,login
2023-01-01,4678,login
2023-01-01,4248,login
2023-01-01,424,login
2023-01-01,2062,login
2023-01-01,1702,login
2023-01-01,1931,login
2023-01-01,4057,login
2023-01-01,1188,login
2023-01-01,3230,login
2023-01-01,668,login
2023-01-01,3508,login
2023-01-01,3943,login
2023-01-01,3661,login
2023-01-01,1541,login
2023-01-01,2491,login
2023-01-01,2336,login
2023-01-01,2550,login
2023-01-01,3728,login
2023-01-01,1301,login
2023-01-01,1781,login
2023-01-01,807,login
2023-01-01,3970,login
2023-01-01,2123,login
2023-01-01,3129,login
2023-01-01,4467,login
2023-01-01,701,login
2023-01-01,4228,login
2023-01-01,4059,login
2023-01-01,2851,login
2023-01-01,2629,login
2023-01-01,1019,login
2023-01-01,2095,login
2023-01-01,3422,login
2023-01-01,2442,login
2023-01-01,1664,login
2023-01-01,4103,login
2023-01-01,3553,login
2023-01-01,3277,login
2023-01-01,4783,login
2023-01-01,3297,login
2023-01-01,4634,login
2023-01-01,1331,login
2023-01-01,3877,login
2023-01-01,1716,login
2023-01-01,1020,login
2023-01-01,770,login
2023-01-01,4194,login
2023-01-01,4441,login
2023-01-01,2075,login
2023-01-01,3822,login
2023-01-01,1616,login
2023-01-01,815,login
2023-01-01,3050,login
2023-01-01,3718,login
2023-01-01,1784,login
2023-01-01,1871,login
2023-01-01,2783,login
2023-01-01,1689,login
2023-01-01,4054,login
2023-01-01,872,login
2023-01-01,2143,login
2023-01-01,1834,login
2023-01-01,311,login
2023-01-01,2780,login
2023-01-01,2904,login
2023-01-01,4919,login
2023-01-01,4894,login
2023-01-01,3274,login
2023-01-01,1233,login
2023-01-01,1918,login
2023-01-01,619,login
2023-01-01,3243,login
2023-01-01,3814,login
2023-01-01,3543,login
2023-01-01,4031,login
2023-01-01,4403,login
2023-01-01,4963,login
2023-01-01,4435,login
2023-01-01,4288,login
2023-01-01,2787,login
2023-01-01,2189,login
2023-01-01,1814,login
2023-01-01,3582,login
2023-01-01,822,login
2023-01-01,1202,login
2023-01-01,3908,login
2023-01-01,4962,login
2023-01-01,3356,login
2023-01-01,418,login
2023-01-01,2516,login
2023-01-01,647,login
2023-01-01,4451,login
2023-01-01,1442,login
2023-01-01,3609,login
2023-01-01,4648,login
2023-01-01,2369,login
2023-01-01,3343,login
2023-01-01,3219,login
2023-01-01,2237,login
2023-01-01,4593,login
2023-01-01,1355,login
2023-01-01,1361,login
2023-01-01,2846,login
2023-01-01,3611,login
2023-01-01,2502,login
2023-01-01,1170,login
2023-01-01,548,login
2023-01-01,494,login
2023-01-01,1421,login
2023-01-01,4667,login
2023-01-01,41,login
2023-01-01,247,login
2023-01-01,1264,login
2023-01-01,2942,login
2023-01-01,1577,login
2023-01-01,4381,login
2023-01-01,3801,login
2023-01-01,4363,login
2023-01-01,1665,login
2023-01-01,1886,login
2023-01-01,3917,login
2023-01-01,997,login
2023-01-01,4258,login
2023-01-01,2979,login
2023-01-01,4617,login
2023-01-01,4706,login
2023-01-01,4743,login
2023-01-01,2149,login
2023-01-01,1905,login
2023-01-01,2303,login
2023-01-01,4058,login
2023-01-01,4848,login
2023-01-01,1393,login
2023-01-01,4020,login
2023-01-01,4737,login
2023-01-01,1606,login
2023-01-01,1273,login
2023-01-01,836,login
2023-01-01,4819,login
2023-01-01,2889,login
2023-01-01,2940,login
2023-01-01,175,login
2023-01-01,1622,login
2023-01-01,3878,login
2023-01-01,2907,login
2023-01-01,3586,login
2023-01-01,1877,login
2023-01-01,1486,login
2023-01-01,99,login
2023-01-01,1949,login
2023-01-01,732,login
2023-01-01,3032,login
2023-01-01,3548,login
2023-01-01,4596,login
2023-01-01,473,login
2023-01-01,581,login
2023-01-01,3590,login
2023-01-01,3776,login
2023-01-01,1149,login
2023-01-01,1257,login
2023-01-01,1384,login
2023-01-01,4246,login
2023-01-01,3140,login
2023-01-01,3336,login
2023-01-01,4444,login
2023-01-01,1848,login
2023-01-01,241,login
2023-01-01,2784,login
2023-01-01,1740,login
2023-01-01,3278,login
2023-01-01,964,login
2023-01-01,3575,login
2023-01-01,1119,login
2023-01-01,1519,login
2023-01-01,160,login
2023-01-01,3369,login
2023-01-01,4539,login
2023-01-01,4365,login
2023-01-01,3676,login
2023-01-01,3962,login
2023-01-01,578,login
2023-01-01,2353,login
2023-01-01,3749,login
2023-01-01,2380,login
2023-01-01,1654,login
2023-01-01,3769,login
2023-01-01,4502,login
2023-01-01,3809,login
2023-01-01,2003,login
2023-01-01,2501,login
2023-01-01,669,login
2023-01-01,3577,login
2023-01-01,1131,login
2023-01-01,719,login
2023-01-01,1671,login
2023-01-01,716,login
2023-01-01,3179,login
2023-01-01,667,login
2023-01-01,4668,login
2023-01-01,4994,login
2023-01-01,595,login
2023-01-01,4747,login
2023-01-01,2084,login
2023-01-01,1645,login
2023-01-01,1549,login
2023-01-01,345,login
2023-01-01,1041,login
2023-01-01,4315,login
2023-01-01,3315,login
2023-01-01,390,login
2023-01-01,3111,login
2023-01-01,1400,login
2023-01-01,2566,login
2023-01-01,2917,login
2023-01-01,3373,login
2023-01-01,174,login
2023-01-01,4980,login
2023-01-01,1125,login
2023-01-01,1339,login
2023-01-01,2624,login
2023-01-01,3114,login
2023-01-01,3754,login
2023-01-01,1193,login
2023-01-01,162,login
